장비ID,장비명/국사명,사업장,순서,key,업무명,운용팀,장비명/국사명,장비ID,국사,본부,자산현행화(세부항목),MOSS(BS)발행,자산점검 완료(MOSS 미발행),
220.81.211.218,철거대상#2F_구봉5단지관리사무소 MDF실#1-E5624R,대전광역시 서구 관저동 1137-0,1,1대전광역시 서구 관저동 1137-0,L2 자산철거(현장확인 대상),제주,철거대상#2F_구봉5단지관리사무소 MDF실#1-E5624R,220.81.211.218,서귀포국사,호남,,,,대전광역시 서구 관저동 1137-0
61.74.48.69,철거대상#문화동99 1번지MAIN#-E5024H,충청남도 천안시 동남구 문화동 99-1,1,1충청남도 천안시 동남구 문화동 99-1,L2 자산철거(현장확인 대상),제주,철거대상#문화동99 1번지MAIN#-E5024H,61.74.48.69,제주국사,호남,,,,충청남도 천안시 동남구 문화동 99-1 sf0724-284
1.81.37.229,철거대상#관리사무소#-E5616R,대전광역시 서구 도안동 2354-0,1,1대전광역시 서구 도안동 2354-0,L2 자산철거(현장확인 대상),제주,철거대상#관리사무소#-E5616R,1.81.37.229,신제주국사,호남,,,,대전광역시 서구 도안동 2354-0 갑천3블럭트리풀시티아파트관리_지상1층_관리소IDF함
211.230.3.235,1#[건물주갈등중]백암리 426 8 리치모텔#-E5616R,충청남도 금산군 복수면 백암리 426-8,1,1충청남도 금산군 복수면 백암리 426-8,L2 자산철거(현장확인 대상),제주,1#[건물주갈등중]백암리 426 8 리치모텔#-E5616R,211.230.3.235,성산포국사,호남,,,,충청남도 금산군 복수면 백암리 426-8
211.230.3.236,1#[건물주갈등중]백암리 426 8 리치모텔#-E5624R,충청남도 금산군 복수면 백암리 426-8,2,2충청남도 금산군 복수면 백암리 426-8,L2 자산철거(현장확인 대상),순천,1#[건물주갈등중]백암리 426 8 리치모텔#-E5624R,211.230.3.236,고흥국사,호남,,,,충청남도 금산군 복수면 백암리 426-8
175.203.45.213,OFF#현장확인필요_웨딩캐슬4층관리소#1-E5608R,충청남도 금산군 금산읍 신대리 677-1,1,1충청남도 금산군 금산읍 신대리 677-1,L2 자산철거(현장확인 대상),해남,OFF#현장확인필요_웨딩캐슬4층관리소#1-E5608R,175.203.45.213,강진국사,호남,,,,충청남도 금산군 금산읍 신대리 677-1
220.123.63.138,철거검토#1970부대 5대대#-E5616R,충청남도 금산군 복수면 지량리 62-0,1,1충청남도 금산군 복수면 지량리 62-0,L2 자산철거(현장확인 대상),동대구,철거검토#1970부대 5대대#-E5616R,220.123.63.138,하양국사,대구,,,,충청남도 금산군 복수면 지량리 62-0
121.188.134.176,철거대상#9715부대_공병대#-E5624R,충청북도 음성군 생극면 관성리 1028-0,1,1충청북도 음성군 생극면 관성리 1028-0,L2 자산철거(현장확인 대상),포항,철거대상#9715부대_공병대#-E5624R,121.188.134.176,포항국사,대구,,,,충청북도 음성군 생극면 관성리 1028-0
118.42.161.112,#성월리_65#-72,충청남도 천안시 성환읍 성월리 65-72,1,1충청남도 천안시 성환읍 성월리 65-72,L2 자산철거(현장확인 대상),포항,#성월리_65#-72,118.42.161.112,포항국사,대구,,,,충청남도 천안시 성환읍 성월리 65-72
175.203.114.204,전국화물공제조합-E5608R,세종특별자치시 장군면 도계리 160-54,1,1세종특별자치시 장군면 도계리 160-54,L2 자산철거(현장확인 대상),서대구,전국화물공제조합-E5608R,175.203.114.204,칠곡국사,대구,,,,세종특별자치시 장군면 도계리 160-54
